M,size,taco_dense,taco_sparse,nst,st,dl,numpy,numpy_man,pytorch,pytorch_man,tf,tf_man,tf_jit,tf_jit_man
16,2000,9711,359,16469,52,106,76,6192,668,691,10092,8130,67279,69592
16,4000,31109,689,62738,102,173,109,25964,653,2238,10323,25788,66279,94102
16,6000,62628,932,130676,116,335,149,59349,686,4701,10730,50080,63336,116100
16,8000,105226,1240,231476,140,354,194,106288,734,8123,11000,83272,61778,137466
16,10000,158899,1563,362979,185,451,228,166334,843,12431,10911,125763,65033,193892
16,12000,224382,1842,522490,211,661,259,240447,1123,17658,10921,184137,64754,231379
16,14000,304894,1932,711255,276,689,303,328191,874,23780,11767,253483,67675,331661
16,16000,383849,2228,928618,299,709,346,428500,877,30745,11191,396247,66699,424338
16,18000,494439,2477,1182274,464,840,382,543253,926,38929,11813,430269,68545,495267
