size,naive,taco_dense,taco_sparse,taco_smart,our,our_sparse
50,10031,9474,350,327,245,264
100,102706,61813,1283,1347,1376,1537
150,396493,241526,4171,3529,3581,2762
200,1232785,681406,8678,7266,8770,6240
250,2960764,1628578,14540,14726,17133,15953
