size,naive,taco_dense,taco_sparse,taco_smart,our,our_sparse
50,3648,6375,349,256,110,112
100,47474,44187,1794,1049,519,535
150,204860,181245,5017,2603,1642,1673
200,569034,541111,11762,6728,3794,3341
250,1337968,1269360,17357,10816,7342,5636
