size,naive,taco_dense,taco_sparse,taco_smart,our,our_sparse
50,286,929,122,112,11,9
100,3378,6386,173,141,42,40
150,12589,20581,269,218,109,104
200,28737,44057,478,340,189,181
250,54111,78219,832,547,276,280
