size,naive,taco_dense,taco_sparse,taco_smart,our,our_sparse
50,4315,4865,5771,3250,2488,2508
100,47440,44624,48976,30649,24002,22355
150,202012,181263,152447,101480,106841,117539
200,552437,539373,448598,281984,285324,288630
250,1332774,1269588,1058009,637038,672130,686176
