size,naive,taco_dense,taco_sparse,taco_smart,our,our_sparse
50,7841,9348,3462,3040,262,276
100,102019,63982,17889,16493,1740,1835
150,383651,241623,53459,48959,7506,7043
200,1217002,676156,117350,110745,17912,16853
250,2944160,1628012,225183,212082,32475,33980
