size,naive,taco_dense,taco_sparse,taco_smart,our,our_sparse
50,9739,9768,210,168,6,6
100,102445,62915,424,300,26,25
150,399517,240083,875,503,65,54
200,1228484,677919,1413,826,116,99
250,2954528,1631115,2170,1155,182,155
