size,naive,taco_dense,taco_sparse,taco_smart,our,our_sparse
50,304,1125,117,118,12,13
100,3406,6693,175,129,41,37
150,12668,20231,286,214,122,101
200,28179,44611,469,318,208,199
250,53657,79462,804,536,294,297
