size,naive,taco_dense,taco_sparse,taco_smart,our,our_sparse
50,3973,6487,398,253,107,104
100,47525,44624,1896,1156,579,595
150,217857,180686,5096,2992,1634,1673
200,575281,542123,12887,5852,3866,3257
250,1352571,1272266,19116,11032,6987,6454
